ID,Original Text,Retweet,Sentiment Score,Sentiment Analysis,User
894363380743589889,"Expect Tesla to Raise Money in 2018 So It Could Produce 500,000 Mass Market Electric Cars $TSLA https://t.co/8stnXqKYUk via @TheStreet",False,Neutral,0.0,20464768
894363374183690240,@elonmusk What are you most proud of? PayPal Tesla SpaceX or something else ?,False,Positive,0.5794,42568997
894363365493149696,Sei Investments Co. Has $18.28 Million Position in Tesla Inc. $TSLA https://t.co/gKxpb717S5,False,Neutral,0.0,2416188264
894363359826640896,Cowen and Company Reaffirms Underperform Rating for Tesla Inc. $TSLA https://t.co/THaB9XeKGx,False,Neutral,0.0,2416188264
894363277580546049,RT @business: We drove Tesla's Model 3 and it's clear a new era has begun https://t.co/X96RToBM4m https://t.co/Hg0OSaKNbq,True,Positive,0.3818,615320699
894363251915591680,"Tesla&amp;#039;s Model 3 Is Here: How to Watch the Big Event
 https://t.co/IXhMVEdOa0",False,Neutral,0.0,4888605736
894363133418115073,"RT @WIRED: .@ElonMusk promised the #Model3 11 years ago. Tonight, he delivered https://t.co/RtfA7ClVhi",True,Positive,0.3612,405938404
894363108646539270,RT @askarel: Ssh root access gained on a #tesla model X !!!! #hacktesla #sha2017 https://t.co/mou1pnIbYJ,True,Positive,0.5815,722838511
894363088878788609,RT @business: We drove Tesla's Model 3 and it's clear a new era has begun https://t.co/X96RToBM4m https://t.co/Hg0OSaKNbq,True,Positive,0.3818,43685979
894363041831280640,Tesla Model 3 Serienfahrzeug in freier Wildbahn -  https://t.co/15nB22VT6P,False,Neutral,0.0,17489980
894363009308438528,"I drove a Tesla Model 3, and it was p 
 https://t.co/ORFVybUbUd",False,Neutral,0.0,764308857782808578
894362976307658752,Tesla perks https://t.co/8nHleONISz https://t.co/AX3jYghVxo,False,Neutral,0.0,873277032318119936
894362960734433281,Tesla is worth more than Ford and GM but it only has 1 percent of their sales https://t.co/lX7Mo1YJ9U,False,Neutral,0.1154,123614765
894362960331780098,Tesla is worth more than Ford and GM but it only has 1 percent of their sales https://t.co/HqxzxfHQKx,False,Neutral,0.1154,1390275390
894362919491776512,RT @CHELSEAOWARE: I'd love to have a Tesla tbvh,True,Positive,0.6369,65059827
894362804299460608,Sei Investments Co. Boosts Position in Tesla Inc. $TSLA https://t.co/wXBAkJS2WB,False,Positive,0.3182,849417718642159616
894362759156174848,MfgEngNews: Consumer Reports Says Chevy Bolt Tops Tesla in EV Range Race: Detroit Free Press https://t.co/dazO5tBTpF #mfg #autos #EVs,False,Positive,0.765,14141556
894362707775950848,@business Appl Tesla Nvidia and the list is not much longer than that!,False,Neutral,0.0,100625142
894362678151532545,Tesla are launch the worlds largest battery storage project. If successful how will this change how we live? https://t.co/YGzUiijzCd,False,Positive,0.5859,846721124
894362505086193665,Tesla Model S Sets New Record For Distance Traveled On One Charge: 1078 km (669.83) miles with Tesla ModelS 100D https://t.co/yhojGJh8vQ,False,Neutral,0.0,2698746986
894362490242576385,@AutosyMas Tesla... model s,False,Neutral,0.0,121818517
894362486366973953,"Elon Musk may build Hyperloop himself, startups be damned https://t.co/Mmzqtb6hDV #elonmusk #tesla #hyperloop #siliconvalley #technology",False,Negative,-0.3818,18029721
894362485548957696,Martin Garrix &amp; Dua Lipa - Scared To Be Lonely (Official Video)  #tesla https://t.co/MMZdMaciCh,False,Negative,-0.6597,769552364030361600
